tamaño_dataset,tipo_clave,log_n,tiempo_insercion_ms,operaciones_teoricas
100,numerica,4.605170185988092,19.6383,460.51701859880916
500,numerica,6.214608098422191,28.8996,621.4608098422192
1000,numerica,6.907755278982137,32.4492,690.7755278982137
5000,numerica,8.517193191416238,285.5547,851.7193191416238
100,textual,4.605170185988092,7.0503,460.51701859880916
500,textual,6.214608098422191,15.8704,621.4608098422192
1000,textual,6.907755278982137,73.5815,690.7755278982137
5000,textual,8.517193191416238,158.7661,851.7193191416238
